Feature,Importance
URLSimilarityIndex,0.3487783313364442
NoOfExternalRef,0.2535558497787638
HasCopyrightInfo,0.0872025784690143
IsHTTPS,0.08551768803686807
NoOfOtherSpecialCharsInURL,0.048116702189897255
NoOfDegitsInURL,0.04188150918013072
DegitRatioInURL,0.030736792541168022
URLLength,0.029529568299993533
LetterRatioInURL,0.020159171122701314
SpacialCharRatioInURL,0.012358449707522156
NoOfLettersInURL,0.011160610692427814
URLCharProb,0.007920243308748503
Pay,0.007116196377819817
NoOfSubDomain,0.0059347663795129724
DomainLength,0.003196672777394397
TLDLegitimateProb,0.0020039807572109023
CharContinuationRate,0.0018152423319823354
Bank,0.0009410494764815684
TLDLength,0.0004776535224933257
NoOfQMarkInURL,0.00042358037448133554
NoOfSelfRedirect,0.0003746798956156321
HasPasswordField,0.000343465052156036
NoOfEqualsInURL,0.0002022186556071524
HasExternalFormSubmit,0.00019090378106310005
NoOfURLRedirect,4.530610152689848e-05
Crypto,1.3609037191417102e-05
NoOfAmpersandInURL,1.0904389897042103e-06
ObfuscationRatio,8.60699219476648e-07
IsDomainIP,7.966756950002671e-07
NoOfObfuscatedChar,4.3300187931657466e-07
HasObfuscation,0.0
